Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
1859,20140729  7:01AM UTC,Walmart Expands Commitment to Plug Power Hydrogen Fuel Cells With GenKey Order for Seventh N. American Distribution Center,"('Walmart', 'Expands Commitment to', 'Plug Power Hydrogen Fuel Cells With GenKey Order')",Walmart,Expands Commitment to,Plug Power Hydrogen Fuel Cells With GenKey Order,Walmart Expands Commitment to,Expands Commitment to Plug Power Hydrogen Fuel Cells With GenKey Order,Walmart Expands Commitment to Plug Power Hydrogen Fuel Cells With GenKey Order,0.6199949999999887,0.08000199999999325
1860,20140730  3:30PM UTC,"Walmart Launches Back-to-College Season with Deep Rollbacks In-Store, Online","('Walmart', 'Launches Season with', 'Deep Rollbacks')",Walmart,Launches Season with,Deep Rollbacks,Walmart Launches Season with,Launches Season with Deep Rollbacks,Walmart Launches Season with Deep Rollbacks,0.6199949999999887,0.08000199999999325
1861,20140804  2:46PM UTC,Walmart To Host Second Annual U.S. Manufacturing Summit in Denver,"('Walmart Second Annual U.S. Manufacturing Summit', 'is in', 'Denver')",Walmart Second Annual U.S. Manufacturing Summit,is in,Denver,Walmart Second Annual U.S. Manufacturing Summit is in,is in Denver,Walmart Second Annual U.S. Manufacturing Summit is in Denver,0.6199949999999887,0.08000199999999325
1862,20140807  6:31PM UTC,LeAnn Rimes Limited Edition CD Offer Launches At Walmart,"('LeAnn Rimes Limited Edition CD Offer', 'Launches At', 'Walmart')",LeAnn Rimes Limited Edition CD Offer,Launches At,Walmart,LeAnn Rimes Limited Edition CD Offer Launches At,Launches At Walmart,LeAnn Rimes Limited Edition CD Offer Launches At Walmart,0.6199949999999887,0.08000199999999325
1863,20140811  1:04PM UTC,ADDING and REPLACING Walmart To Host Second Annual U.S. Manufacturing Summit in Denver,"('Second Annual U.S. Manufacturing Summit', 'is in', 'Denver')",Second Annual U.S. Manufacturing Summit,is in,Denver,Second Annual U.S. Manufacturing Summit is in,is in Denver,Second Annual U.S. Manufacturing Summit is in Denver,0.6199949999999887,0.08000199999999325
1864,20140811  8:30AM UTC,Green Dot and Walmart MoneyCard Named Best Prepaid Cards for Alternative Checking Account by CardHub,"('Green Dot', 'Named', 'Prepaid Cards for Account')",Green Dot,Named,Prepaid Cards for Account,Green Dot Named,Named Prepaid Cards for Account,Green Dot Named Prepaid Cards for Account,0.6199949999999887,0.08000199999999325
1865,20140814  7:02PM UTC,Texas teenager missing for nearly three days found living at Walmart,"('Texas teenager', 'missing for', 'nearly three days found living')",Texas teenager,missing for,nearly three days found living,Texas teenager missing for,missing for nearly three days found living,Texas teenager missing for nearly three days found living,0.6199949999999887,0.08000199999999325
1866,20140815  11:45PM UTC,Dudley Leads Professional Bass Fishing's Forrest Wood Cup Presented By Walmart,"('Professional Bass Fishing', 'has', 'Forrest Wood Cup Presented')",Professional Bass Fishing,has,Forrest Wood Cup Presented,Professional Bass Fishing has,has Forrest Wood Cup Presented,Professional Bass Fishing has Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1867,20140815  9:13PM UTC,Dudley Leads Professional Bass Fishing's Forrest Wood Cup Presented by Walmart,"('Professional Bass Fishing', 'has', 'Forrest Wood Cup')",Professional Bass Fishing,has,Forrest Wood Cup,Professional Bass Fishing has,has Forrest Wood Cup,Professional Bass Fishing has Forrest Wood Cup,0.6199949999999887,0.08000199999999325
1868,20140815  5:40PM UTC,"From Research Lab to the Assembly Line: Walmart, the Walmart Foundation and the U.S. Conference of Mayors Award $4 Million to Help Spark Innovation in American Manufacturing","('Spark Innovation', 'is in', 'American Manufacturing')",Spark Innovation,is in,American Manufacturing,Spark Innovation is in,is in American Manufacturing,Spark Innovation is in American Manufacturing,0.6199949999999887,0.08000199999999325
1869,20140815  4:35PM UTC,"From Research Lab to the Assembly Line: Walmart, the Walmart Foundation and the U.S. Conference of Mayors Award $4 Million to Help Spark Innovation in American Manufacturing","('Spark Innovation', 'is in', 'American Manufacturing')",Spark Innovation,is in,American Manufacturing,Spark Innovation is in,is in American Manufacturing,Spark Innovation is in American Manufacturing,0.6199949999999887,0.08000199999999325
1870,20140815  8:04AM UTC,Denver event aims to close gap in Walmart's 'Made in USA' push,"('Denver event', 'close', ""gap in Walmart 's"")",Denver event,close,gap in Walmart 's,Denver event close,close gap in Walmart 's,Denver event close gap in Walmart 's,0.6199949999999887,0.08000199999999325
1871,20140815  8:00AM UTC,FEATURE-Denver event aims to close gap in Walmart's 'Made in USA' push,"('Denver event', 'close', ""gap in Walmart 's"")",Denver event,close,gap in Walmart 's,Denver event close,close gap in Walmart 's,Denver event close gap in Walmart 's,0.6199949999999887,0.08000199999999325
1873,20140815  6:01AM UTC,Walmart To Host Second Annual U.S. Manufacturing Summit in Denver,"('Walmart Second Annual U.S. Manufacturing Summit', 'is in', 'Denver')",Walmart Second Annual U.S. Manufacturing Summit,is in,Denver,Walmart Second Annual U.S. Manufacturing Summit is in,is in Denver,Walmart Second Annual U.S. Manufacturing Summit is in Denver,0.6199949999999887,0.08000199999999325
1874,20140816  10:02PM UTC,Jarabeck Takes Lead At Professional Bass Fishing's Forrest Wood Cup Presented By Walmart,"('Professional Bass Fishing', 'At', 'Forrest Wood Cup Presented')",Professional Bass Fishing,At,Forrest Wood Cup Presented,Professional Bass Fishing At,At Forrest Wood Cup Presented,Professional Bass Fishing At Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1875,20140817  10:31PM UTC,Ehrler Grabs Lead At Professional Bass Fishing's FLW Forrest Wood Cup Presented By Walmart,"('Professional Bass Fishing', 'At', 'FLW Forrest Wood Cup Presented')",Professional Bass Fishing,At,FLW Forrest Wood Cup Presented,Professional Bass Fishing At,At FLW Forrest Wood Cup Presented,Professional Bass Fishing At FLW Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1876,20140817  8:05PM UTC,Ehrler Grabs Lead At Professional Bass Fishing's Forrest Wood Cup Presented By Walmart,"('Professional Bass Fishing', 'At', 'Forrest Wood Cup Presented')",Professional Bass Fishing,At,Forrest Wood Cup Presented,Professional Bass Fishing At,At Forrest Wood Cup Presented,Professional Bass Fishing At Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1877,20140817  12:11AM UTC,Jarabeck Takes Lead At Professional Bass Fishing's FLW Forrest Wood Cup Presented By Walmart,"('Professional Bass Fishing', 'At', 'FLW Forrest Wood Cup Presented')",Professional Bass Fishing,At,FLW Forrest Wood Cup Presented,Professional Bass Fishing At,At FLW Forrest Wood Cup Presented,Professional Bass Fishing At FLW Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1878,20140818  9:38PM UTC,Gagliardi Wins Professional Bass Fishing's Forrest Wood Cup Presented By Walmart,"('Gagliardi', 'Wins', ""Professional Bass Fishing 's Forrest Wood Cup Presented"")",Gagliardi,Wins,Professional Bass Fishing 's Forrest Wood Cup Presented,Gagliardi Wins,Wins Professional Bass Fishing 's Forrest Wood Cup Presented,Gagliardi Wins Professional Bass Fishing 's Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1879,20140819  12:14AM UTC,Gagliardi Wins Professional Bass Fishing's FLW Forrest Wood Cup Presented By Walmart,"('Professional Bass Fishing', 'has', 'FLW Forrest Wood Cup Presented')",Professional Bass Fishing,has,FLW Forrest Wood Cup Presented,Professional Bass Fishing has,has FLW Forrest Wood Cup Presented,Professional Bass Fishing has FLW Forrest Wood Cup Presented,0.6199949999999887,0.08000199999999325
1880,20140820  6:18PM UTC,"On wings of endangered butterflies, critics attack Florida planned Walmart","('critics attack Florida', 'planned Walmart On', 'wings of butterflies')",critics attack Florida,planned Walmart On,wings of butterflies,critics attack Florida planned Walmart On,planned Walmart On wings of butterflies,critics attack Florida planned Walmart On wings of butterflies,0.6199949999999887,0.08000199999999325
1881,20140820  6:12PM UTC,"On wings of endangered butterflies, critics attack Florida planned Walmart","('critics attack Florida', 'planned Walmart On', 'wings of butterflies')",critics attack Florida,planned Walmart On,wings of butterflies,critics attack Florida planned Walmart On,planned Walmart On wings of butterflies,critics attack Florida planned Walmart On wings of butterflies,0.6199949999999887,0.08000199999999325
1882,20140820  12:34PM UTC,Cinnabon Launches Baking Kit Available in Select Walmart Stores,"('Cinnabon', 'Launches', 'Baking Kit')",Cinnabon,Launches,Baking Kit,Cinnabon Launches,Launches Baking Kit,Cinnabon Launches Baking Kit,0.6199949999999887,0.08000199999999325
1883,20140820  8:30AM UTC,Walmart Chooses Lumos LSX Solar Modules For Their Functionality And Unmatched Aesthetics,"('Walmart', 'Chooses Lumos LSX Solar Modules For', 'Their Functionality')",Walmart,Chooses Lumos LSX Solar Modules For,Their Functionality,Walmart Chooses Lumos LSX Solar Modules For,Chooses Lumos LSX Solar Modules For Their Functionality,Walmart Chooses Lumos LSX Solar Modules For Their Functionality,0.6199949999999887,0.08000199999999325
1884,20140821  4:34PM UTC,Red Hat SocietyÂ® Annual Gala to be Sponsored by Always Discreetâ¢ available at Walmart,"('Red Hat SocietyÂ', 'be Sponsored by', 'Always Discreetâ ¢')",Red Hat SocietyÂ,be Sponsored by,Always Discreetâ ¢,Red Hat SocietyÂ be Sponsored by,be Sponsored by Always Discreetâ ¢,Red Hat SocietyÂ be Sponsored by Always Discreetâ ¢,0.6199949999999887,0.08000199999999325
