Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
11027,20130903  1:00PM UTC,Google and NestlÃ© announce Android KitKat,"('Google', 'announce', 'Android KitKat')",Google,announce,Android KitKat,Google announce,announce Android KitKat,Google announce Android KitKat,-0.6973879999999895,6.714812999999992
11028,20130903  11:54AM UTC,Google Drives the Future of HTML5 and User Interfaces at OTTtv World Summit,"('Google', 'Drives', 'Future of HTML5')",Google,Drives,Future of HTML5,Google Drives,Drives Future of HTML5,Google Drives Future of HTML5,-0.6973879999999895,6.714812999999992
11030,20130904  9:33PM UTC,Microsoft says wins patent trial against Google's Motorola,"('Google', 'against', 'Motorola')",Google,against,Motorola,Google against,against Motorola,Google against Motorola,2.983825999999965,5.604003999999975
11031,20130904  9:32PM UTC,UPDATE 1-Microsoft says wins patent trial against Google's Motorola,"('Google', 'against', 'Motorola')",Google,against,Motorola,Google against,against Motorola,Google against Motorola,2.983825999999965,5.604003999999975
11032,20130904  8:41PM UTC,Microsoft says wins patent trial against Google's Motorola,"('Google', 'against', 'Motorola')",Google,against,Motorola,Google against,against Motorola,Google against Motorola,2.983825999999965,5.604003999999975
11033,20130904  11:00AM UTC,"Cardinal Path Announces 2014 Google Analytics, AdWords And Bing Ads Training Dates And Locations","('Cardinal Path', 'Announces', '2014 Google Analytics Ads Dates')",Cardinal Path,Announces,2014 Google Analytics Ads Dates,Cardinal Path Announces,Announces 2014 Google Analytics Ads Dates,Cardinal Path Announces 2014 Google Analytics Ads Dates,2.983825999999965,5.604003999999975
11035,20130904  3:30AM UTC,ChannelAdvisor Hosts Webinar to Prepare Retailers for the Upcoming Transition to Google Enhanced Sitelinks,"('Webinar', 'Prepare Retailers for', 'Upcoming Transition to Google Enhanced Sitelinks')",Webinar,Prepare Retailers for,Upcoming Transition to Google Enhanced Sitelinks,Webinar Prepare Retailers for,Prepare Retailers for Upcoming Transition to Google Enhanced Sitelinks,Webinar Prepare Retailers for Upcoming Transition to Google Enhanced Sitelinks,2.983825999999965,5.604003999999975
11036,20130905  2:56PM UTC,SugarCRM Works with Google to Measure & Optimize When Online AdWords Campaign Generated Leads Turn into Cash in the Offline World,"('SugarCRM', 'Works', 'Google to Measure')",SugarCRM,Works,Google to Measure,SugarCRM Works,Works Google to Measure,SugarCRM Works Google to Measure,6.550446000000022,3.950194999999951
11037,20130905  2:00PM UTC,Marketo Introduces Industry-Leading Conversion Import Integration with Google AdWords,"('Marketo', 'Introduces', 'Conversion Import Integration')",Marketo,Introduces,Conversion Import Integration,Marketo Introduces,Introduces Conversion Import Integration,Marketo Introduces Conversion Import Integration,6.550446000000022,3.950194999999951
11038,20130905  12:00PM UTC,Magisto Platform First Featured Social Video App in Google Chrome Web Store,"('Magisto Platform First Featured Social Video App', 'is in', 'Google Chrome Web Store')",Magisto Platform First Featured Social Video App,is in,Google Chrome Web Store,Magisto Platform First Featured Social Video App is in,is in Google Chrome Web Store,Magisto Platform First Featured Social Video App is in Google Chrome Web Store,6.550446000000022,3.950194999999951
11040,20130909  5:43PM UTC,Three GO Launcher Apps Top 50 million Downloads on Google Play,"('Three', 'GO', 'Launcher Apps')",Three,GO,Launcher Apps,Three GO,GO Launcher Apps,Three GO Launcher Apps,0.6425780000000145,4.219208000000037
